text
"Order Placement: 2025-04-26 18:30:18.397769, Customer: Holly Garza, Time of Order: 21:16:27, Location: North Josephmouth, Texas, Mayotte - 14361, Product ID: ELEC-LAP-0004, Quantity: 1, Payment Method: Debit Card"
"Product ID: AUTO-FIL-0009, Category: Automotive, Subcategory: Filters, Price: $$796.77, List Price: $$1,048.38, Discount Price: $$796.77, Supplier: Supplier_7, Availability: In Stock, ETA: 2025-05-15"
"Product ID: FURN-DSK-0008, Category: Furniture, Subcategory: Desks, Price: $$1,440.92, List Price: $$1,566.22, Discount Price: $$1,440.92, Supplier: Supplier_7, Availability: Limited, ETA: 2025-05-13"
"Product ID: AUTO-TIR-0004, Category: Automotive, Subcategory: Tires, Price: $$514.26, List Price: $$524.76, Discount Price: $$514.26, Supplier: Supplier_2, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: FURN-CHR-0009, Category: Furniture, Subcategory: Chairs, Price: $$627.34, List Price: $$847.75, Discount Price: $$627.34, Supplier: Supplier_1, Availability: In Stock, ETA: 2025-05-17"
"Product ID: ELEC-TAB-0003, Category: Electronics, Subcategory: Tablets, Price: $$720.27, List Price: $$867.79, Discount Price: $$720.27, Supplier: Supplier_4, Supplier_3, Availability: Out of Stock, ETA: 2025-05-10"
"Product ID: GROC-VEG-0009, Category: Groceries, Subcategory: Vegetables, Price: $$1,520.52, List Price: $$1,949.39, Discount Price: $$1,520.52, Supplier: Supplier_10, Availability: Out of Stock, ETA: 2025-05-15"
"Product ID: AUTO-FIL-0010, Category: Automotive, Subcategory: Filters, Price: $$760.99, List Price: $$776.52, Discount Price: $$760.99, Supplier: Supplier_8, Supplier_2, Availability: Limited, ETA: 2025-05-11"
"Product ID: APPR-SHT-0001, Category: Apparel, Subcategory: Shirts, Price: $$77.85, List Price: $$80.26, Discount Price: $$77.85, Supplier: Supplier_3, Availability: In Stock, ETA: 2025-05-14"
"Product ID: FURN-CAB-0001, Category: Furniture, Subcategory: Cabinets, Price: $$196.88, List Price: $$240.10, Discount Price: $$196.88, Supplier: Supplier_2, Supplier_8, Availability: Out of Stock, ETA: 2025-05-12"
"Product ID: FURN-BED-0001, Category: Furniture, Subcategory: Beds, Price: $$511.24, List Price: $$594.47, Discount Price: $$511.24, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-14"
"Product ID: APPR-SHS-0001, Category: Apparel, Subcategory: Shoes, Price: $$1,706.81, List Price: $$1,835.28, Discount Price: $$1,706.81, Supplier: Supplier_5, Supplier_1, Availability: In Stock, ETA: 2025-05-16"
"Product ID: FURN-CHR-0001, Category: Furniture, Subcategory: Chairs, Price: $$1,009.81, List Price: $$1,160.70, Discount Price: $$1,009.81, Supplier: Supplier_5, Supplier_2, Availability: Limited, ETA: 2025-05-07"
"Product ID: AUTO-FIL-0001, Category: Automotive, Subcategory: Filters, Price: $$206.89, List Price: $$232.46, Discount Price: $$206.89, Supplier: Supplier_6, Supplier_9, Availability: Limited, ETA: 2025-05-13"
"Product ID: AUTO-TIR-0001, Category: Automotive, Subcategory: Tires, Price: $$885.24, List Price: $$1,005.96, Discount Price: $$885.24, Supplier: Supplier_2, Availability: Out of Stock, ETA: 2025-05-10"
"Product ID: AUTO-OIL-0001, Category: Automotive, Subcategory: Oil, Price: $$271.14, List Price: $$326.68, Discount Price: $$271.14, Supplier: Supplier_6, Availability: Limited, ETA: 2025-05-17"
"Product ID: GROC-BEV-0001, Category: Groceries, Subcategory: Beverages, Price: $$1,595.50, List Price: $$1,994.37, Discount Price: $$1,595.50, Supplier: Supplier_9, Availability: Limited, ETA: 2025-05-12"
"Product ID: FURN-DSK-0001, Category: Furniture, Subcategory: Desks, Price: $$945.85, List Price: $$1,228.38, Discount Price: $$945.85, Supplier: Supplier_2, Supplier_3, Availability: Out of Stock, ETA: 2025-05-11"
"Product ID: GROC-BEV-0001, Category: Groceries, Subcategory: Beverages, Price: $$1,360.94, List Price: $$1,564.30, Discount Price: $$1,360.94, Supplier: Supplier_6, Availability: In Stock, ETA: 2025-05-11"
"Product ID: GROC-SNK-0001, Category: Groceries, Subcategory: Snacks, Price: $$300.25, List Price: $$389.94, Discount Price: $$300.25, Supplier: Supplier_8, Supplier_4, Availability: In Stock, ETA: 2025-05-04"
"Product ID: GROC-BEV-0002, Category: Groceries, Subcategory: Beverages, Price: $$1,078.71, List Price: $$1,112.07, Discount Price: $$1,078.71, Supplier: Supplier_9, Availability: In Stock, ETA: 2025-05-09"
"Product ID: APPR-JNS-0001, Category: Apparel, Subcategory: Jeans, Price: $$1,343.67, List Price: $$1,745.02, Discount Price: $$1,343.67, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-13"
"Product ID: APPR-SHS-0002, Category: Apparel, Subcategory: Shoes, Price: $$1,118.63, List Price: $$1,242.92, Discount Price: $$1,118.63, Supplier: Supplier_9, Supplier_1, Availability: Out of Stock, ETA: 2025-05-06"
"Product ID: AUTO-OIL-0002, Category: Automotive, Subcategory: Oil, Price: $$512.38, List Price: $$711.64, Discount Price: $$512.38, Supplier: Supplier_9, Availability: Limited, ETA: 2025-05-12"
"Product ID: ELEC-LAP-0001, Category: Electronics, Subcategory: Laptops, Price: $$1,205.88, List Price: $$1,470.59, Discount Price: $$1,205.88, Supplier: Supplier_7, Supplier_6, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: GROC-SNK-0001, Category: Groceries, Subcategory: Snacks, Price: $$281.84, List Price: $$396.96, Discount Price: $$281.84, Supplier: Supplier_8, Availability: In Stock, ETA: 2025-05-10"
"Product ID: ELEC-CAM-0001, Category: Electronics, Subcategory: Cameras, Price: $$1,184.90, List Price: $$1,331.35, Discount Price: $$1,184.90, Supplier: Supplier_8, Supplier_1, Availability: Limited, ETA: 2025-05-06"
"Product ID: AUTO-OIL-0003, Category: Automotive, Subcategory: Oil, Price: $$257.50, List Price: $$367.85, Discount Price: $$257.50, Supplier: Supplier_3, Supplier_4, Availability: Out of Stock, ETA: 2025-05-17"
"Product ID: ELEC-CAM-0001, Category: Electronics, Subcategory: Cameras, Price: $$1,289.73, List Price: $$1,791.29, Discount Price: $$1,289.73, Supplier: Supplier_1, Supplier_6, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: GROC-VEG-0001, Category: Groceries, Subcategory: Vegetables, Price: $$978.29, List Price: $$988.17, Discount Price: $$978.29, Supplier: Supplier_4, Supplier_2, Availability: Out of Stock, ETA: 2025-05-12"
"Product ID: FURN-BED-0002, Category: Furniture, Subcategory: Beds, Price: $$538.07, List Price: $$543.51, Discount Price: $$538.07, Supplier: Supplier_9, Supplier_1, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: ELEC-LAP-0001, Category: Electronics, Subcategory: Laptops, Price: $$73.37, List Price: $$94.07, Discount Price: $$73.37, Supplier: Supplier_10, Availability: Out of Stock, ETA: 2025-05-05"
"Product ID: ELEC-CAM-0002, Category: Electronics, Subcategory: Cameras, Price: $$261.44, List Price: $$281.12, Discount Price: $$261.44, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-13"
"Product ID: GROC-BEV-0002, Category: Groceries, Subcategory: Beverages, Price: $$1,405.69, List Price: $$1,979.85, Discount Price: $$1,405.69, Supplier: Supplier_7, Supplier_8, Availability: In Stock, ETA: 2025-05-09"
"Product ID: ELEC-TAB-0001, Category: Electronics, Subcategory: Tablets, Price: $$697.15, List Price: $$860.68, Discount Price: $$697.15, Supplier: Supplier_2, Supplier_8, Availability: Limited, ETA: 2025-05-06"
"Product ID: ELEC-TAB-0002, Category: Electronics, Subcategory: Tablets, Price: $$1,082.50, List Price: $$1,462.84, Discount Price: $$1,082.50, Supplier: Supplier_8, Availability: In Stock, ETA: 2025-05-05"
"Product ID: AUTO-OIL-0004, Category: Automotive, Subcategory: Oil, Price: $$1,385.55, List Price: $$1,951.48, Discount Price: $$1,385.55, Supplier: Supplier_1, Supplier_4, Availability: In Stock, ETA: 2025-05-10"
"Product ID: GROC-SNK-0002, Category: Groceries, Subcategory: Snacks, Price: $$402.10, List Price: $$423.26, Discount Price: $$402.10, Supplier: Supplier_3, Supplier_9, Availability: Limited, ETA: 2025-05-06"
"Product ID: FURN-CAB-0002, Category: Furniture, Subcategory: Cabinets, Price: $$969.49, List Price: $$1,009.89, Discount Price: $$969.49, Supplier: Supplier_1, Supplier_8, Availability: Out of Stock, ETA: 2025-05-14"
"Product ID: AUTO-FIL-0001, Category: Automotive, Subcategory: Filters, Price: $$1,508.94, List Price: $$1,640.15, Discount Price: $$1,508.94, Supplier: Supplier_1, Supplier_9, Availability: Limited, ETA: 2025-05-17"
"Product ID: ELEC-SM-0001, Category: Electronics, Subcategory: Smartphones, Price: $$994.64, List Price: $$1,212.97, Discount Price: $$994.64, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-15"
"Product ID: ELEC-TAB-0001, Category: Electronics, Subcategory: Tablets, Price: $$833.51, List Price: $$1,173.96, Discount Price: $$833.51, Supplier: Supplier_8, Supplier_1, Availability: Out of Stock, ETA: 2025-05-17"
"Product ID: FURN-BED-0003, Category: Furniture, Subcategory: Beds, Price: $$391.65, List Price: $$421.13, Discount Price: $$391.65, Supplier: Supplier_3, Availability: Limited, ETA: 2025-05-08"
"Product ID: ELEC-SM-0001, Category: Electronics, Subcategory: Smartphones, Price: $$951.96, List Price: $$1,359.95, Discount Price: $$951.96, Supplier: Supplier_7, Supplier_4, Availability: Limited, ETA: 2025-05-12"
"Product ID: ELEC-TAB-0003, Category: Electronics, Subcategory: Tablets, Price: $$150.09, List Price: $$202.83, Discount Price: $$150.09, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-05"
"Product ID: APPR-JKT-0001, Category: Apparel, Subcategory: Jackets, Price: $$362.56, List Price: $$385.70, Discount Price: $$362.56, Supplier: Supplier_6, Supplier_3, Availability: Limited, ETA: 2025-05-05"
"Product ID: FURN-BED-0001, Category: Furniture, Subcategory: Beds, Price: $$1,077.54, List Price: $$1,197.27, Discount Price: $$1,077.54, Supplier: Supplier_8, Availability: Out of Stock, ETA: 2025-05-05"
"Product ID: APPR-JKT-0002, Category: Apparel, Subcategory: Jackets, Price: $$332.09, List Price: $$338.87, Discount Price: $$332.09, Supplier: Supplier_5, Supplier_10, Availability: Out of Stock, ETA: 2025-05-17"
"Product ID: AUTO-OIL-0001, Category: Automotive, Subcategory: Oil, Price: $$1,582.86, List Price: $$1,954.15, Discount Price: $$1,582.86, Supplier: Supplier_2, Availability: In Stock, ETA: 2025-05-07"
"Product ID: ELEC-LAP-0001, Category: Electronics, Subcategory: Laptops, Price: $$855.72, List Price: $$983.59, Discount Price: $$855.72, Supplier: Supplier_10, Availability: Out of Stock, ETA: 2025-05-16"
"Product ID: ELEC-TAB-0001, Category: Electronics, Subcategory: Tablets, Price: $$974.58, List Price: $$1,036.79, Discount Price: $$974.58, Supplier: Supplier_3, Supplier_6, Availability: In Stock, ETA: 2025-05-16"
"Product ID: APPR-SHT-0001, Category: Apparel, Subcategory: Shirts, Price: $$775.08, List Price: $$1,019.84, Discount Price: $$775.08, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-10"
"Product ID: FURN-DSK-0001, Category: Furniture, Subcategory: Desks, Price: $$973.82, List Price: $$1,082.02, Discount Price: $$973.82, Supplier: Supplier_2, Supplier_5, Availability: Out of Stock, ETA: 2025-05-16"
"Product ID: GROC-SNK-0001, Category: Groceries, Subcategory: Snacks, Price: $$342.04, List Price: $$375.87, Discount Price: $$342.04, Supplier: Supplier_5, Supplier_8, Availability: Limited, ETA: 2025-05-16"
"Product ID: APPR-SHS-0001, Category: Apparel, Subcategory: Shoes, Price: $$1,395.92, List Price: $$1,623.16, Discount Price: $$1,395.92, Supplier: Supplier_7, Supplier_5, Availability: In Stock, ETA: 2025-05-06"
"Product ID: AUTO-OIL-0001, Category: Automotive, Subcategory: Oil, Price: $$458.01, List Price: $$636.12, Discount Price: $$458.01, Supplier: Supplier_10, Availability: In Stock, ETA: 2025-05-08"
"Product ID: AUTO-TIR-0001, Category: Automotive, Subcategory: Tires, Price: $$790.66, List Price: $$930.19, Discount Price: $$790.66, Supplier: Supplier_7, Availability: Limited, ETA: 2025-05-16"
"Product ID: ELEC-SM-0001, Category: Electronics, Subcategory: Smartphones, Price: $$1,517.20, List Price: $$1,827.95, Discount Price: $$1,517.20, Supplier: Supplier_2, Supplier_7, Availability: Limited, ETA: 2025-05-07"
"Product ID: FURN-DSK-0002, Category: Furniture, Subcategory: Desks, Price: $$1,099.72, List Price: $$1,357.68, Discount Price: $$1,099.72, Supplier: Supplier_3, Availability: In Stock, ETA: 2025-05-12"
"Product ID: ELEC-LAP-0002, Category: Electronics, Subcategory: Laptops, Price: $$338.33, List Price: $$433.76, Discount Price: $$338.33, Supplier: Supplier_5, Availability: In Stock, ETA: 2025-05-04"
"Product ID: AUTO-TIR-0001, Category: Automotive, Subcategory: Tires, Price: $$1,388.75, List Price: $$1,714.50, Discount Price: $$1,388.75, Supplier: Supplier_6, Supplier_9, Availability: In Stock, ETA: 2025-05-07"
"Product ID: FURN-CHR-0001, Category: Furniture, Subcategory: Chairs, Price: $$555.71, List Price: $$661.56, Discount Price: $$555.71, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-16"
"Product ID: FURN-CAB-0001, Category: Furniture, Subcategory: Cabinets, Price: $$153.31, List Price: $$170.35, Discount Price: $$153.31, Supplier: Supplier_10, Availability: Out of Stock, ETA: 2025-05-11"
"Product ID: ELEC-SM-0002, Category: Electronics, Subcategory: Smartphones, Price: $$1,429.87, List Price: $$1,682.20, Discount Price: $$1,429.87, Supplier: Supplier_3, Availability: In Stock, ETA: 2025-05-09"
"Product ID: APPR-JNS-0001, Category: Apparel, Subcategory: Jeans, Price: $$1,615.68, List Price: $$1,648.65, Discount Price: $$1,615.68, Supplier: Supplier_3, Availability: Limited, ETA: 2025-05-09"
"Product ID: AUTO-TIR-0002, Category: Automotive, Subcategory: Tires, Price: $$219.62, List Price: $$249.57, Discount Price: $$219.62, Supplier: Supplier_9, Availability: In Stock, ETA: 2025-05-06"
"Product ID: APPR-JNS-0002, Category: Apparel, Subcategory: Jeans, Price: $$1,449.20, List Price: $$1,463.84, Discount Price: $$1,449.20, Supplier: Supplier_10, Supplier_8, Availability: Limited, ETA: 2025-05-17"
"Product ID: ELEC-SM-0003, Category: Electronics, Subcategory: Smartphones, Price: $$1,119.19, List Price: $$1,257.52, Discount Price: $$1,119.19, Supplier: Supplier_9, Supplier_8, Availability: Limited, ETA: 2025-05-13"
"Product ID: FURN-DSK-0003, Category: Furniture, Subcategory: Desks, Price: $$1,276.01, List Price: $$1,772.23, Discount Price: $$1,276.01, Supplier: Supplier_1, Availability: In Stock, ETA: 2025-05-05"
"Product ID: GROC-BEV-0001, Category: Groceries, Subcategory: Beverages, Price: $$138.35, List Price: $$139.75, Discount Price: $$138.35, Supplier: Supplier_2, Availability: Limited, ETA: 2025-05-12"
"Product ID: ELEC-TAB-0002, Category: Electronics, Subcategory: Tablets, Price: $$760.05, List Price: $$760.05, Discount Price: $$760.05, Supplier: Supplier_7, Supplier_9, Availability: In Stock, ETA: 2025-05-05"
"Product ID: FURN-BED-0001, Category: Furniture, Subcategory: Beds, Price: $$93.33, List Price: $$112.44, Discount Price: $$93.33, Supplier: Supplier_2, Supplier_6, Availability: In Stock, ETA: 2025-05-10"
"Product ID: AUTO-BAT-0001, Category: Automotive, Subcategory: Batteries, Price: $$445.65, List Price: $$489.72, Discount Price: $$445.65, Supplier: Supplier_7, Supplier_8, Availability: Out of Stock, ETA: 2025-05-08"
"Product ID: ELEC-CAM-0001, Category: Electronics, Subcategory: Cameras, Price: $$843.57, List Price: $$878.72, Discount Price: $$843.57, Supplier: Supplier_3, Supplier_4, Availability: In Stock, ETA: 2025-05-06"
"Product ID: FURN-BED-0001, Category: Furniture, Subcategory: Beds, Price: $$1,425.36, List Price: $$1,676.89, Discount Price: $$1,425.36, Supplier: Supplier_3, Availability: Out of Stock, ETA: 2025-05-09"
"Product ID: GROC-FRT-0001, Category: Groceries, Subcategory: Fruits, Price: $$1,491.29, List Price: $$1,962.22, Discount Price: $$1,491.29, Supplier: Supplier_2, Supplier_8, Availability: Limited, ETA: 2025-05-05"
"Product ID: APPR-JKT-0001, Category: Apparel, Subcategory: Jackets, Price: $$229.23, List Price: $$254.70, Discount Price: $$229.23, Supplier: Supplier_4, Availability: In Stock, ETA: 2025-05-07"
"Product ID: AUTO-BAT-0001, Category: Automotive, Subcategory: Batteries, Price: $$809.40, List Price: $$834.43, Discount Price: $$809.40, Supplier: Supplier_3, Supplier_7, Availability: Out of Stock, ETA: 2025-05-14"
"Product ID: ELEC-SM-0001, Category: Electronics, Subcategory: Smartphones, Price: $$1,216.26, List Price: $$1,266.94, Discount Price: $$1,216.26, Supplier: Supplier_2, Supplier_4, Availability: Out of Stock, ETA: 2025-05-13"
"Product ID: AUTO-OIL-0002, Category: Automotive, Subcategory: Oil, Price: $$1,740.66, List Price: $$1,912.81, Discount Price: $$1,740.66, Supplier: Supplier_10, Supplier_7, Availability: Out of Stock, ETA: 2025-05-11"
"Product ID: ELEC-TAB-0003, Category: Electronics, Subcategory: Tablets, Price: $$591.38, List Price: $$821.36, Discount Price: $$591.38, Supplier: Supplier_6, Supplier_2, Availability: Limited, ETA: 2025-05-17"
"Product ID: AUTO-FIL-0001, Category: Automotive, Subcategory: Filters, Price: $$712.36, List Price: $$975.84, Discount Price: $$712.36, Supplier: Supplier_5, Availability: Limited, ETA: 2025-05-13"
"Product ID: FURN-CAB-0002, Category: Furniture, Subcategory: Cabinets, Price: $$663.92, List Price: $$829.90, Discount Price: $$663.92, Supplier: Supplier_4, Availability: Limited, ETA: 2025-05-07"
"Product ID: FURN-CHR-0001, Category: Furniture, Subcategory: Chairs, Price: $$1,042.54, List Price: $$1,145.65, Discount Price: $$1,042.54, Supplier: Supplier_1, Supplier_4, Availability: Limited, ETA: 2025-05-10"
"Product ID: ELEC-SM-0004, Category: Electronics, Subcategory: Smartphones, Price: $$231.78, List Price: $$249.23, Discount Price: $$231.78, Supplier: Supplier_8, Supplier_4, Availability: In Stock, ETA: 2025-05-04"
"Product ID: AUTO-BAT-0002, Category: Automotive, Subcategory: Batteries, Price: $$668.15, List Price: $$726.25, Discount Price: $$668.15, Supplier: Supplier_7, Availability: Limited, ETA: 2025-05-04"
"Product ID: FURN-CHR-0002, Category: Furniture, Subcategory: Chairs, Price: $$1,019.38, List Price: $$1,061.85, Discount Price: $$1,019.38, Supplier: Supplier_1, Supplier_2, Availability: Out of Stock, ETA: 2025-05-10"
"Product ID: GROC-BEV-0001, Category: Groceries, Subcategory: Beverages, Price: $$500.51, List Price: $$650.01, Discount Price: $$500.51, Supplier: Supplier_6, Supplier_10, Availability: In Stock, ETA: 2025-05-07"
"Product ID: APPR-SHS-0001, Category: Apparel, Subcategory: Shoes, Price: $$1,275.05, List Price: $$1,356.44, Discount Price: $$1,275.05, Supplier: Supplier_10, Supplier_9, Availability: In Stock, ETA: 2025-05-12"
"Product ID: APPR-SHS-0002, Category: Apparel, Subcategory: Shoes, Price: $$1,471.39, List Price: $$1,634.88, Discount Price: $$1,471.39, Supplier: Supplier_4, Supplier_8, Availability: Out of Stock, ETA: 2025-05-15"
"Product ID: APPR-JKT-0001, Category: Apparel, Subcategory: Jackets, Price: $$748.83, List Price: $$822.89, Discount Price: $$748.83, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-13"
"Product ID: FURN-CHR-0002, Category: Furniture, Subcategory: Chairs, Price: $$1,486.48, List Price: $$1,769.62, Discount Price: $$1,486.48, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-16"
"Product ID: ELEC-TAB-0004, Category: Electronics, Subcategory: Tablets, Price: $$812.04, List Price: $$1,041.08, Discount Price: $$812.04, Supplier: Supplier_5, Availability: In Stock, ETA: 2025-05-04"
"Product ID: ELEC-LAP-0001, Category: Electronics, Subcategory: Laptops, Price: $$553.07, List Price: $$564.36, Discount Price: $$553.07, Supplier: Supplier_10, Availability: In Stock, ETA: 2025-05-07"
"Product ID: ELEC-SM-0005, Category: Electronics, Subcategory: Smartphones, Price: $$1,001.95, List Price: $$1,138.58, Discount Price: $$1,001.95, Supplier: Supplier_6, Supplier_10, Availability: Limited, ETA: 2025-05-08"
"Product ID: APPR-SHT-0001, Category: Apparel, Subcategory: Shirts, Price: $$67.58, List Price: $$76.80, Discount Price: $$67.58, Supplier: Supplier_9, Supplier_4, Availability: Out of Stock, ETA: 2025-05-17"
"Product ID: ELEC-SM-0006, Category: Electronics, Subcategory: Smartphones, Price: $$101.50, List Price: $$102.53, Discount Price: $$101.50, Supplier: Supplier_6, Supplier_9, Availability: Out of Stock, ETA: 2025-05-14"
"Product ID: GROC-VEG-0001, Category: Groceries, Subcategory: Vegetables, Price: $$661.81, List Price: $$769.55, Discount Price: $$661.81, Supplier: Supplier_7, Supplier_8, Availability: Limited, ETA: 2025-05-16"
"Product ID: ELEC-CAM-0001, Category: Electronics, Subcategory: Cameras, Price: $$1,184.04, List Price: $$1,578.72, Discount Price: $$1,184.04, Supplier: Supplier_3, Supplier_9, Availability: In Stock, ETA: 2025-05-09"
"Product ID: GROC-FRT-0001, Category: Groceries, Subcategory: Fruits, Price: $$215.97, List Price: $$227.34, Discount Price: $$215.97, Supplier: Supplier_5, Supplier_8, Availability: Limited, ETA: 2025-05-15"
"Product ID: ELEC-TAB-0005, Category: Electronics, Subcategory: Tablets, Price: $$1,517.91, List Price: $$1,807.04, Discount Price: $$1,517.91, Supplier: Supplier_2, Supplier_5, Availability: Out of Stock, ETA: 2025-05-09"
"Product ID: APPR-SHS-0003, Category: Apparel, Subcategory: Shoes, Price: $$139.71, List Price: $$141.12, Discount Price: $$139.71, Supplier: Supplier_8, Availability: Out of Stock, ETA: 2025-05-08"
"Product ID: APPR-SHS-0004, Category: Apparel, Subcategory: Shoes, Price: $$1,496.47, List Price: $$1,943.47, Discount Price: $$1,496.47, Supplier: Supplier_1, Supplier_5, Availability: Limited, ETA: 2025-05-17"
"Product ID: GROC-SNK-0002, Category: Groceries, Subcategory: Snacks, Price: $$286.37, List Price: $$397.74, Discount Price: $$286.37, Supplier: Supplier_6, Supplier_4, Availability: Limited, ETA: 2025-05-06"
"Product ID: FURN-CAB-0001, Category: Furniture, Subcategory: Cabinets, Price: $$170.54, List Price: $$181.43, Discount Price: $$170.54, Supplier: Supplier_10, Availability: Limited, ETA: 2025-05-13"
"Product ID: APPR-JNS-0003, Category: Apparel, Subcategory: Jeans, Price: $$1,056.75, List Price: $$1,354.81, Discount Price: $$1,056.75, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-08"
"Product ID: GROC-FRT-0002, Category: Groceries, Subcategory: Fruits, Price: $$376.48, List Price: $$488.93, Discount Price: $$376.48, Supplier: Supplier_3, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: GROC-SNK-0003, Category: Groceries, Subcategory: Snacks, Price: $$412.23, List Price: $$443.26, Discount Price: $$412.23, Supplier: Supplier_5, Availability: Out of Stock, ETA: 2025-05-13"
"Product ID: FURN-CAB-0003, Category: Furniture, Subcategory: Cabinets, Price: $$825.17, List Price: $$1,115.10, Discount Price: $$825.17, Supplier: Supplier_2, Availability: Out of Stock, ETA: 2025-05-05"
"Product ID: FURN-CAB-0004, Category: Furniture, Subcategory: Cabinets, Price: $$672.54, List Price: $$840.68, Discount Price: $$672.54, Supplier: Supplier_1, Availability: Limited, ETA: 2025-05-09"
"Product ID: ELEC-TAB-0006, Category: Electronics, Subcategory: Tablets, Price: $$1,566.43, List Price: $$1,631.70, Discount Price: $$1,566.43, Supplier: Supplier_8, Supplier_7, Availability: Limited, ETA: 2025-05-11"
"Product ID: APPR-JNS-0001, Category: Apparel, Subcategory: Jeans, Price: $$186.79, List Price: $$214.70, Discount Price: $$186.79, Supplier: Supplier_10, Supplier_8, Availability: Limited, ETA: 2025-05-08"
"Product ID: APPR-JKT-0002, Category: Apparel, Subcategory: Jackets, Price: $$137.81, List Price: $$170.13, Discount Price: $$137.81, Supplier: Supplier_10, Supplier_1, Availability: Limited, ETA: 2025-05-16"
"Product ID: FURN-CAB-0002, Category: Furniture, Subcategory: Cabinets, Price: $$241.12, List Price: $$251.17, Discount Price: $$241.12, Supplier: Supplier_3, Availability: Out of Stock, ETA: 2025-05-05"
"Product ID: APPR-JKT-0002, Category: Apparel, Subcategory: Jackets, Price: $$425.45, List Price: $$531.81, Discount Price: $$425.45, Supplier: Supplier_2, Availability: Out of Stock, ETA: 2025-05-13"
"Product ID: APPR-SHT-0002, Category: Apparel, Subcategory: Shirts, Price: $$445.47, List Price: $$454.56, Discount Price: $$445.47, Supplier: Supplier_9, Supplier_1, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: GROC-VEG-0002, Category: Groceries, Subcategory: Vegetables, Price: $$692.23, List Price: $$777.79, Discount Price: $$692.23, Supplier: Supplier_1, Availability: Limited, ETA: 2025-05-16"
"Product ID: AUTO-FIL-0001, Category: Automotive, Subcategory: Filters, Price: $$429.85, List Price: $$558.25, Discount Price: $$429.85, Supplier: Supplier_1, Availability: Out of Stock, ETA: 2025-05-12"
"Product ID: APPR-JNS-0002, Category: Apparel, Subcategory: Jeans, Price: $$467.89, List Price: $$584.86, Discount Price: $$467.89, Supplier: Supplier_8, Supplier_7, Availability: Limited, ETA: 2025-05-15"
"Product ID: ELEC-SM-0002, Category: Electronics, Subcategory: Smartphones, Price: $$482.92, List Price: $$497.86, Discount Price: $$482.92, Supplier: Supplier_10, Supplier_6, Availability: Out of Stock, ETA: 2025-05-08"
"Product ID: APPR-JNS-0003, Category: Apparel, Subcategory: Jeans, Price: $$478.39, List Price: $$483.22, Discount Price: $$478.39, Supplier: Supplier_2, Supplier_1, Availability: In Stock, ETA: 2025-05-05"
"Product ID: AUTO-FIL-0002, Category: Automotive, Subcategory: Filters, Price: $$1,600.14, List Price: $$1,632.80, Discount Price: $$1,600.14, Supplier: Supplier_8, Supplier_1, Availability: Out of Stock, ETA: 2025-05-04"
"Product ID: AUTO-BAT-0002, Category: Automotive, Subcategory: Batteries, Price: $$1,336.35, List Price: $$1,830.62, Discount Price: $$1,336.35, Supplier: Supplier_4, Supplier_9, Availability: In Stock, ETA: 2025-05-12"
"Product ID: APPR-JKT-0003, Category: Apparel, Subcategory: Jackets, Price: $$424.77, List Price: $$466.78, Discount Price: $$424.77, Supplier: Supplier_9, Availability: Limited, ETA: 2025-05-11"
"Product ID: ELEC-LAP-0002, Category: Electronics, Subcategory: Laptops, Price: $$1,184.11, List Price: $$1,480.14, Discount Price: $$1,184.11, Supplier: Supplier_5, Supplier_6, Availability: In Stock, ETA: 2025-05-06"
"Product ID: APPR-JKT-0004, Category: Apparel, Subcategory: Jackets, Price: $$511.43, List Price: $$574.64, Discount Price: $$511.43, Supplier: Supplier_3, Availability: Limited, ETA: 2025-05-08"
"Product ID: FURN-DSK-0001, Category: Furniture, Subcategory: Desks, Price: $$812.58, List Price: $$1,069.18, Discount Price: $$812.58, Supplier: Supplier_8, Supplier_9, Availability: Out of Stock, ETA: 2025-05-13"
"Product ID: ELEC-LAP-0003, Category: Electronics, Subcategory: Laptops, Price: $$524.15, List Price: $$563.60, Discount Price: $$524.15, Supplier: Supplier_9, Supplier_1, Availability: Out of Stock, ETA: 2025-05-17"
"Product ID: FURN-BED-0002, Category: Furniture, Subcategory: Beds, Price: $$139.52, List Price: $$172.25, Discount Price: $$139.52, Supplier: Supplier_4, Availability: In Stock, ETA: 2025-05-06"
"Product ID: AUTO-OIL-0003, Category: Automotive, Subcategory: Oil, Price: $$742.24, List Price: $$798.11, Discount Price: $$742.24, Supplier: Supplier_8, Availability: Limited, ETA: 2025-05-16"
